Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
data_dialog_00000_00001_80f69c5b	data_chr	Oh Hello	game/dialog/00000/00001.rpy	2	data_chr "[what]"
data_dialog_00000_00001_a2a53cf3	data_chr	You must developer	game/dialog/00000/00001.rpy	3	data_chr "[what]"
data_dialog_00000_00001_e2659898	data_chr_00002_00002	I dont know...	game/dialog/00000/00001.rpy	4	data_chr_00002_00002 "[what]"
data_dialog_00000_00001_f9431a3c	data_chr_00002_00002	Maybe...	game/dialog/00000/00001.rpy	5	data_chr_00002_00002 "[what]"
data_dialog_00000_00001_b82795ea	data_chr_00002_00002	Who are you anyway?	game/dialog/00000/00001.rpy	6	data_chr_00002_00002 "[what]"
data_dialog_00000_00001_ad796e78	data_chr	It seems i forgetten to introduce myself	game/dialog/00000/00001.rpy	7	data_chr "[what]"
data_dialog_00000_00001_0252fc69	data_chr_00002	Am The Game You Are Currently Creating	game/dialog/00000/00001.rpy	8	data_chr_00002 "[what]"
data_dialog_00000_00001_6969df8e	data_chr_00002_00002	hmm?	game/dialog/00000/00001.rpy	9	data_chr_00002_00002 "[what]"
data_dialog_00000_00001_9d8a3a67	data_chr_00002	i think you are new here	game/dialog/00000/00001.rpy	10	data_chr_00002 "[what]"
data_dialog_00000_00001_e4c9c561	data_chr_00002_00002	your kinda rude	game/dialog/00000/00001.rpy	11	data_chr_00002_00002 "[what]"
data_dialog_00001_00000_c6cb579b	data_chr	Umm what are those thing dad?	game/dialog/00001/00000.rpy	2	data_chr "[what]"
data_dialog_00001_00000_eb49a7dd	data_ep_0	A cute girl questioning the webs in the sky	game/dialog/00001/00000.rpy	4	data_ep_0 "[what]"
data_dialog_00001_00000_c55ec3a0	data_chr	Auriel, Those are skytread they are helping us to protect our kingdom	game/dialog/00001/00000.rpy	6	data_chr "[what]"
data_dialog_00001_00000_5454c11b	data_ep_0	Her Dad answering her question	game/dialog/00001/00000.rpy	8	data_ep_0 "[what]"
data_dialog_00001_00000_700c1e5f	data_chr_00004_00000	Can i go there?	game/dialog/00001/00000.rpy	10	data_chr_00004_00000 "[what]"
data_dialog_00001_00000_d9e3f7b4	data_chr_00003_00001	Not yet but One day we will go there and spend sometime	game/dialog/00001/00000.rpy	12	data_chr_00003_00001 "[what]"
data_dialog_00001_00000_05236745	data_ep_0	Her Father died due to illiness and the promise never delivered	game/dialog/00001/00000.rpy	14	data_ep_0 "[what]"
data_dialog_00001_00001_c16103c0		CHAPTER 1	game/dialog/00001/00001.rpy	3	"[what]"
data_dialog_00001_00001_8bb1bea9	data_ep_0	12 Years has passed and she is now 15 years old	game/dialog/00001/00001.rpy	5	data_ep_0 "[what]"
data_dialog_00001_00001_fcfb3095	data_ep_0	One night while returning to her bedroom to sleep	game/dialog/00001/00001.rpy	7	data_ep_0 "[what]"
data_dialog_00001_00001_97372694	data_ep_0	she remembered her father's promise	game/dialog/00001/00001.rpy	9	data_ep_0 "[what]"
data_dialog_00001_00001_2429005c	data_ep_0	she grabs a key from her breast pocket	game/dialog/00001/00001.rpy	11	data_ep_0 "[what]"
data_dialog_00001_00001_dbff018d	data_chr_00004_00000_00001	One day we will go there and spend sometime	game/dialog/00001/00001.rpy	15	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00001_82fa51ae	data_ep_0	promise to make her father's promise come true at least	game/dialog/00001/00001.rpy	17	data_ep_0 "[what]"
data_dialog_00001_00001_afd8b056	data_ep_0	Auriel arrived to her bedroom's door and she open it	game/dialog/00001/00001.rpy	19	data_ep_0 "[what]"
data_dialog_00001_00001_c09a5e16	data_ep_0	her room have a Comfy bed, cabinet, a chandelier and a Door to nothing...	game/dialog/00001/00001.rpy	25	data_ep_0 "[what]"
data_dialog_00001_00001_6f5883eb	data_ep_0	She is surprise theres a free standing door on her room	game/dialog/00001/00001.rpy	29	data_ep_0 "[what]"
data_dialog_00001_00001_942b568f	data_ep_0	she went on the front of the door and tried to open the door	game/dialog/00001/00001.rpy	33	data_ep_0 "[what]"
data_dialog_00001_00001_dc82237f	data_ep_0	but its so heavy that it cant even budge and gave up	game/dialog/00001/00001.rpy	35	data_ep_0 "[what]"
data_dialog_00001_00001_c7b9d183	data_ep_0	she change to her sleeping outfit and went to bed..	game/dialog/00001/00001.rpy	37	data_ep_0 "[what]"
data_dialog_00001_00001_31301b57	data_ep_fast_forward	8 hours has passed and she woken up from her sleep	game/dialog/00001/00001.rpy	39	data_ep_fast_forward "[what]"
data_dialog_00001_00001_398794a0	data_chr_00004_00000_00001	*ahhh good morning from nightmares*	game/dialog/00001/00001.rpy	41	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00001_9ab2e5d5	data_ep_0	Auriel went to her cabinet to change to her usual dress and inspect the heavy door on the middle of the room	game/dialog/00001/00001.rpy	43	data_ep_0 "[what]"
data_dialog_00001_00001_1f098bcf	data_ep_0	and found that theres symbol that use ancient symbol	game/dialog/00001/00001.rpy	45	data_ep_0 "[what]"
data_dialog_00001_00001_2f5757fc	data_ep_0	there are 8 symbols and 1 that are glowing	game/dialog/00001/00001.rpy	47	data_ep_0 "[what]"
data_dialog_00001_00001_4c2a4eb4	data_chr_00004_00000_00001	*I have no clue what are these...oh no am late for entrance exam*	game/dialog/00001/00001.rpy	49	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00001_da4816ac	data_ep_0	she remembered about her entrance exam and went to the kitchen to cook...	game/dialog/00001/00001.rpy	51	data_ep_0 "[what]"
data_dialog_00001_00001_38e1e915	data_ep_0	Auriel is settled in a remote mansion in the middle of the woods.	game/dialog/00001/00001.rpy	53	data_ep_0 "[what]"
data_dialog_00001_00001_6693e6b6	data_ep_0	She inherited the mansion after her father passed away and is likely still processing the grief.	game/dialog/00001/00001.rpy	55	data_ep_0 "[what]"
data_dialog_00001_00001_dbdbb865	data_ep_0	She lives there by herself and often spends her days alone.	game/dialog/00001/00001.rpy	57	data_ep_0 "[what]"
data_dialog_00001_00001_7a6bad45	data_ep_0	she would rather be alone than having the maid guild assign a maid to a mantion at the middle of the forest full of monsters 	game/dialog/00001/00001.rpy	59	data_ep_0 "[what]"
data_dialog_00001_00001_8628e839	data_ep_0	after she finish cooking and eat	game/dialog/00001/00001.rpy	61	data_ep_0 "[what]"
data_dialog_00001_00001_6e33fb9f	data_ep_0	she left the mantion and went thru the wilderness to get in the academy	game/dialog/00001/00001.rpy	63	data_ep_0 "[what]"
data_dialog_00001_00001_04bd4557	data_ep_0	on this world anyone with the age of 13 and above are called adults and all child restrictions are lift	game/dialog/00001/00001.rpy	65	data_ep_0 "[what]"
data_dialog_00001_00001_39a648a1	data_ep_0	after an hour and a half of walk and breaks she reach the academy	game/dialog/00001/00001.rpy	67	data_ep_0 "[what]"
data_dialog_00001_00001_25cf44bb	data_ep_0	the kingdom's academy is the largest academy in the continent that even Royalty, Nobles, and Commoners from different kingdom are all together in a single academy because of its reputation	game/dialog/00001/00001.rpy	69	data_ep_0 "[what]"
data_dialog_00001_00001_1ccbcf24	data_ep_0	this is her first time going into the academy	game/dialog/00001/00001.rpy	71	data_ep_0 "[what]"
data_dialog_00001_00001_842a71c8	data_chr_00004_00000_00001	*It So Big!*	game/dialog/00001/00001.rpy	73	data_chr_00004_00000_00001 "[what]"
data_dialog_00001_00001_00bf0f8b	data_ep_0	she was shock because of the size of the entrance that she froze for while	game/dialog/00001/00001.rpy	75	data_ep_0 "[what]"
data_dialog_00001_00001_d467b13f	data_ep_0	as the academy's bell started to ring Auriel went to a classrooms	game/dialog/00001/00001.rpy	79	data_ep_0 "[what]"
data_dialog_00001_00001_e0d05da5	data_ep_0	on the room there are 120 chairs	game/dialog/00001/00001.rpy	81	data_ep_0 "[what]"
data_dialog_00001_00001_0ed3baad	data_ep_0	they are allowed to pick what chair they want	game/dialog/00001/00001.rpy	83	data_ep_0 "[what]"
data_dialog_00001_00001_966fb1f5	data_ep_0	as per usual.. Cheating in any way will immediately kick you out and never be able to take the exam for a year	game/dialog/00001/00001.rpy	85	data_ep_0 "[what]"
data_dialog_00001_00001_d50872b6	data_ep_0	she pick the chair on the center-right from the door and wait for other participants to start the exam	game/dialog/00001/00001.rpy	87	data_ep_0 "[what]"
data_dialog_00001_00001_e5629093	data_ep_0	a professor go to the front of the room to sign the start of the exam	game/dialog/00001/00001.rpy	89	data_ep_0 "[what]"
data_dialog_00001_00001_6f682a3b	data_chr_00003_00002	you may begin	game/dialog/00001/00001.rpy	91	data_chr_00003_00002 "[what]"
